resource	kind	name	abstract	type_kind	bridge_owner	neutral_owner	status
ifcgeometryresource	entity	ifcsurface	true	-	select::subtype	axiolid-surface + axiolid-model::SurfaceRelation	inventory
ifcgeometryresource	entity	ifcsurfacecurve	false	-	curve::offset	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifcsurfaceoflinearextrusion	false	-	surface::swept	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	entity	ifcsurfaceofrevolution	false	-	surface::swept	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	function	ifcsurfaceweightspositive	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometryresource	entity	ifcsweptsurface	true	-	surface::swept	axiolid-surface + axiolid-model::SurfaceRelation	inventory
ifcgeometryresource	entity	ifctoroidalsurface	false	-	surface::elementary	axiolid-surface + axiolid-model::SurfaceRelation	view-or-family
ifcgeometryresource	type	ifctransitioncode	false	enum	curve::composite	axiolid-model	modeled-type
ifcgeometryresource	entity	ifctrimmedcurve	false	-	curve::trimmed	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometryresource	type	ifctrimmingpreference	false	enum	curve::trimmed	axiolid-model	modeled-type
ifcgeometryresource	type	ifctrimmingselect	false	select	curve::trimmed	axiolid-model	modeled-type
ifcgeometryresource	entity	ifcvector	false	-	resource::direction	axiolid-core	view-or-family
ifcgeometryresource	function	ifcvectordifference	false	-	resource::functions	axiolid-core	native-primitive
ifcgeometryresource	type	ifcvectorordirection	false	select	select::entity_selects	axiolid-core	modeled-type
ifcgeometryresource	function	ifcvectorsum	false	-	resource::functions	axiolid-core	native-primitive
ifcgeometricmodelresource	entity	ifcadvancedbrep	false	-	solid::brep	axiolid-topology	view-or-family
ifcgeometricmodelresource	entity	ifcadvancedbrepwithvoids	false	-	solid::brep	axiolid-topology	view-or-family
ifcgeometricmodelresource	entity	ifcblock	false	-	solid::csg	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcbooleanclippingresult	false	-	solid::boolean	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	type	ifcbooleanoperand	false	select	solid::boolean	axiolid-model::SolidOperation	modeled-type
ifcgeometricmodelresource	type	ifcbooleanoperator	false	enum	solid::boolean	axiolid-model::SolidOperation	modeled-type
ifcgeometricmodelresource	entity	ifcbooleanresult	false	-	solid::boolean	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcboundingbox	false	-	solid::bbox	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcboxedhalfspace	false	-	solid::halfspace	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifccartesianpointlist	true	-	resource::point	axiolid-core	inventory
ifcgeometricmodelresource	entity	ifccartesianpointlist2d	false	-	resource::point	axiolid-core	view-or-family
ifcgeometricmodelresource	entity	ifccartesianpointlist3d	false	-	resource::point	axiolid-core	view-or-family
ifcgeometricmodelresource	entity	ifccsgprimitive3d	true	-	solid::csg	axiolid-model::SolidOperation	inventory
ifcgeometricmodelresource	type	ifccsgselect	false	select	solid::csg	axiolid-model::SolidOperation	modeled-type
ifcgeometricmodelresource	entity	ifccsgsolid	false	-	solid::csg	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcextrudedareasolid	false	-	solid::swept::area	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcextrudedareasolidtapered	false	-	solid::swept::area	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcfacebasedsurfacemodel	false	-	solid::surface_model	axiolid-topology	view-or-family
ifcgeometricmodelresource	entity	ifcfacetedbrep	false	-	solid::brep	axiolid-topology	view-or-family
ifcgeometricmodelresource	entity	ifcfacetedbrepwithvoids	false	-	solid::brep	axiolid-topology	view-or-family
ifcgeometricmodelresource	entity	ifcfixedreferencesweptareasolid	false	-	solid::swept::directrix	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcgeometriccurveset	false	-	solid::surface_model	axiolid-curve + axiolid-model::CurveRelation	view-or-family
ifcgeometricmodelresource	entity	ifcgeometricset	false	-	solid::surface_model	axiolid-model	view-or-family
ifcgeometricmodelresource	type	ifcgeometricsetselect	false	select	solid::surface_model	axiolid-model	modeled-type
ifcgeometricmodelresource	entity	ifchalfspacesolid	false	-	solid::halfspace	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcindexedpolygonalface	false	-	solid::tessellated::polygonal	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcindexedpolygonalfacewithvoids	false	-	solid::tessellated::polygonal	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcmanifoldsolidbrep	true	-	solid::brep	axiolid-model::SolidOperation	inventory
ifcgeometricmodelresource	function	ifcpointlistdim	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometricmodelresource	entity	ifcpolygonalboundedhalfspace	false	-	solid::halfspace	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcpolygonalfaceset	false	-	solid::tessellated::polygonal	axiolid-mesh	view-or-family
ifcgeometricmodelresource	entity	ifcrectangularpyramid	false	-	solid::csg	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcrevolvedareasolid	false	-	solid::swept::area	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcrevolvedareasolidtapered	false	-	solid::swept::area	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcrightcircularcone	false	-	solid::csg	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcrightcircularcylinder	false	-	solid::csg	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcsectionedspine	false	-	solid	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcshellbasedsurfacemodel	false	-	solid::surface_model	axiolid-topology	view-or-family
ifcgeometricmodelresource	entity	ifcsolidmodel	true	-	solid::swept	axiolid-model::SolidOperation	inventory
ifcgeometricmodelresource	entity	ifcsphere	false	-	solid::csg	axiolid-model	view-or-family
ifcgeometricmodelresource	entity	ifcsurfacecurvesweptareasolid	false	-	solid::swept::directrix	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcsweptareasolid	true	-	solid::swept::area	axiolid-model::SolidOperation	inventory
ifcgeometricmodelresource	entity	ifcsweptdisksolid	false	-	solid::swept::directrix	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	entity	ifcsweptdisksolidpolygonal	false	-	solid::swept::directrix	axiolid-model::SolidOperation	view-or-family
ifcgeometricmodelresource	function	ifctaperedsweptareaprofiles	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometricmodelresource	entity	ifctessellatedfaceset	true	-	solid::tessellated	axiolid-mesh	inventory
ifcgeometricmodelresource	entity	ifctessellateditem	true	-	solid::tessellated	axiolid-mesh	inventory
ifcgeometricmodelresource	entity	ifctriangulatedfaceset	false	-	solid::tessellated::triangulated	axiolid-mesh	view-or-family
ifcgeometricconstraintresource	entity	ifcconnectioncurvegeometry	false	-	constraint::connection	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	entity	ifcconnectiongeometry	true	-	constraint::connection	ifc-geometry::constraint + axiolid-model::NodeId	inventory
ifcgeometricconstraintresource	entity	ifcconnectionpointeccentricity	false	-	constraint::connection	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	entity	ifcconnectionpointgeometry	false	-	constraint::connection	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	entity	ifcconnectionsurfacegeometry	false	-	constraint::connection	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	entity	ifcconnectionvolumegeometry	false	-	constraint::connection	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	function	ifccorrectlocalplacement	false	-	resource::functions	ifc-geometry	scaffolded
ifcgeometricconstraintresource	type	ifccurveoredgecurve	false	select	select::aggregate_selects	ifc-geometry::constraint + axiolid-model::NodeId	modeled-type
ifcgeometricconstraintresource	entity	ifcgridaxis	false	-	constraint::grid	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	entity	ifcgridplacement	false	-	constraint::grid	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	type	ifcgridplacementdirectionselect	false	select	constraint::grid	ifc-geometry::constraint + axiolid-model::NodeId	modeled-type
ifcgeometricconstraintresource	entity	ifclocalplacement	false	-	constraint::local	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
ifcgeometricconstraintresource	entity	ifcobjectplacement	true	-	constraint	ifc-geometry::constraint + axiolid-model::NodeId	inventory
ifcgeometricconstraintresource	type	ifcpointorvertexpoint	false	select	select::aggregate_selects	ifc-geometry::constraint + axiolid-model::NodeId	modeled-type
ifcgeometricconstraintresource	type	ifcsolidorshell	false	select	select::entity_selects	ifc-geometry::constraint + axiolid-model::NodeId	modeled-type
ifcgeometricconstraintresource	type	ifcsurfaceorfacesurface	false	select	select::aggregate_selects	ifc-geometry::constraint + axiolid-model::NodeId	modeled-type
ifcgeometricconstraintresource	entity	ifcvirtualgridintersection	false	-	constraint::grid	ifc-geometry::constraint + axiolid-model::NodeId	view-or-family
