# Absolute STEP slot indices for IFC geometry entities
# Generated from references/ifc-spec/ifc4-add2-tc1/IFC4.exp
# Inherited attributes come FIRST -- this is what positional records use.
# Format: EntityName | index | AttrName | declared-in | type

IfcIndexedPolygonalFaceWithVoids | 1 | InnerCoordIndices | IfcIndexedPolygonalFaceWithVoids | LIST [1:?] OF LIST [3:?] OF

IfcIntersectionCurve | 0 | Curve3D | IfcSurfaceCurve | IfcCurve
IfcIntersectionCurve | 1 | AssociatedGeometry | IfcSurfaceCurve | LIST [1:2] OF IfcPcurve
IfcIntersectionCurve | 2 | MasterRepresentation | IfcSurfaceCurve | IfcPreferredSurfaceCurveRepresentation

IfcLine | 0 | Pnt | IfcLine | IfcCartesianPoint
IfcLine | 1 | Dir | IfcLine | IfcVector

IfcLocalPlacement | 0 | PlacementRelTo | IfcLocalPlacement | OPTIONAL IfcObjectPlacement
IfcLocalPlacement | 1 | RelativePlacement | IfcLocalPlacement | IfcAxis2Placement

IfcMappedItem | 0 | MappingSource | IfcMappedItem | IfcRepresentationMap
IfcMappedItem | 1 | MappingTarget | IfcMappedItem | IfcCartesianTransformationOperator

IfcOffsetCurve2D | 0 | BasisCurve | IfcOffsetCurve2D | IfcCurve
IfcOffsetCurve2D | 1 | Distance | IfcOffsetCurve2D | IfcLengthMeasure
IfcOffsetCurve2D | 2 | SelfIntersect | IfcOffsetCurve2D | IfcLogical

IfcOffsetCurve3D | 0 | BasisCurve | IfcOffsetCurve3D | IfcCurve
IfcOffsetCurve3D | 1 | Distance | IfcOffsetCurve3D | IfcLengthMeasure
IfcOffsetCurve3D | 2 | SelfIntersect | IfcOffsetCurve3D | IfcLogical
IfcOffsetCurve3D | 3 | RefDirection | IfcOffsetCurve3D | IfcDirection

IfcOuterBoundaryCurve | 0 | Segments | IfcCompositeCurve | LIST [1:?] OF IfcCompositeCurveSegment
IfcOuterBoundaryCurve | 1 | SelfIntersect | IfcCompositeCurve | IfcLogical

IfcPcurve | 0 | BasisSurface | IfcPcurve | IfcSurface
IfcPcurve | 1 | ReferenceCurve | IfcPcurve | IfcCurve

IfcPlane | 0 | Position | IfcElementarySurface | IfcAxis2Placement3D

IfcPointOnCurve | 0 | BasisCurve | IfcPointOnCurve | IfcCurve
IfcPointOnCurve | 1 | PointParameter | IfcPointOnCurve | IfcParameterValue

IfcPointOnSurface | 0 | BasisSurface | IfcPointOnSurface | IfcSurface
IfcPointOnSurface | 1 | PointParameterU | IfcPointOnSurface | IfcParameterValue
IfcPointOnSurface | 2 | PointParameterV | IfcPointOnSurface | IfcParameterValue

IfcPolygonalBoundedHalfSpace | 0 | BaseSurface | IfcHalfSpaceSolid | IfcSurface
